date,FF Europe | Reference,FF Europe | Enhanced Value,FF Europe | Momentum,FF Japan | Reference,FF Japan | Enhanced Value,FF Japan | Momentum,FF Asia-Pacific | Reference,FF Asia-Pacific | Enhanced Value,FF Asia-Pacific | Momentum
1990-11-30,0.0014999999999999996,-0.0071,-0.0033,-0.13549999999999998,-0.16305,-0.1518,-0.0241,-0.030099999999999995,-0.02745
1990-12-31,-0.0095,-0.005999999999999999,-0.005300000000000001,0.025299999999999996,-0.0176,-0.0545,-0.005000000000000001,-0.020499999999999997,-0.00895
1991-01-31,0.0203,0.004200000000000001,-0.0020999999999999994,0.017099999999999997,-0.014600000000000002,-0.017449999999999997,0.057999999999999996,0.053950000000000005,0.05165
1991-02-28,0.0778,0.08905,0.05775,0.1277,0.17825000000000002,0.10795000000000002,0.0956,0.08035,0.09739999999999999
1991-03-31,-0.0626,-0.05445,-0.0505,-0.0376,-0.024399999999999998,-0.011100000000000002,0.0272,0.025150000000000002,0.03435
1991-04-30,-0.0033999999999999994,-0.0077,0.0026,0.0271,0.03845,0.04585,0.026199999999999998,0.0235,0.0131
1991-05-31,0.0096,-0.00425,-0.00585,-0.0156,-0.02135,-0.00945,-0.0008000000000000012,0.006599999999999999,0.01615
1991-06-30,-0.0699,-0.0709,-0.0627,-0.06670000000000001,-0.03945,-0.0364,-0.0022000000000000006,-0.00635,-0.0012000000000000001
1991-07-31,0.0579,0.0411,0.0699,0.018799999999999997,0.01175,0.002,0.0627,0.086,0.0653
1991-08-31,0.018799999999999997,0.013799999999999998,0.0464,-0.0678,-0.09385,-0.06475,-0.011300000000000001,-0.0051,0.00285
1991-09-30,0.0348,0.04005,0.0658,0.0912,0.0973,0.08255,0.012700000000000001,0.02725,0.0285
1991-10-31,-0.022000000000000002,-0.030850000000000002,-0.0063999999999999994,0.0448,0.0385,0.05159999999999999,0.0419,0.051199999999999996,0.0501
1991-11-30,-0.0188,-0.0249,-0.012750000000000001,-0.0813,-0.09705,-0.08125,0.0004000000000000006,0.021750000000000002,0.008199999999999999
1991-12-31,0.0668,0.04285,0.05765000000000001,0.028800000000000003,0.039,0.02245,0.017400000000000002,0.00040000000000000105,0.026
1992-01-31,-0.0017999999999999995,0.0,0.0007000000000000001,-0.0533,-0.0423,-0.060950000000000004,0.0164,0.02515,0.0206
1992-02-29,-0.0015999999999999999,-0.00030000000000000035,0.00515,-0.0694,-0.060899999999999996,-0.05005,0.0228,0.0408,0.04555
1992-03-31,-0.034,-0.03125,-0.02695,-0.11109999999999999,-0.10919999999999999,-0.10670000000000002,0.0007000000000000001,-0.0017000000000000001,0.008150000000000001
1992-04-30,0.053399999999999996,0.044649999999999995,0.05895,-0.0738,-0.0485,-0.08099999999999999,0.0571,0.03335,0.05345
